dataset_id,gift_dataset_id,split,split_description,model_name,config_hash,run_dir,weighting_strategy,n_models,effective_n,n_samples,feature_count,feature_names,architecture_variant,layer_sizes,effort_transform,target_transform,asymptote_transform,weibull_parameterization,r2,d2,rmse,mape,mean_relative_bias,median_relative_bias,log1p_r2,log1p_d2,log1p_rmse,log1p_mae,bias_slope_log_area
ceacce0,da569da,gift,GIFT extrapolation,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,uniform,5,4.999999999999999,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,maxabs,absolute,legacy,0.7865865230439287,0.5472130505979966,407.4089015029075,0.3406365438805368,0.23494844000496448,0.06272899786744172,0.6553060040045926,0.5150096020643049,0.3594096253173919,0.24324224333505468,-0.036189413386091246
ceacce0,da569da,gift,GIFT extrapolation,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,inverse_val_rmse,5,4.995313369406013,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,maxabs,absolute,legacy,0.7857972136714435,0.5464301389862658,408.16160673147994,0.3410799532636236,0.2354771852806024,0.06444699921227785,0.6545126717818002,0.5144509483723296,0.35982298813698094,0.24352243069105567,-0.03640875618438503
ceacce0,da569da,gift,GIFT extrapolation,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,inverse_val_rmse_squared,5,4.98165214243195,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,maxabs,absolute,legacy,0.7849919325194421,0.5456575597366483,408.92811522700384,0.3415207005367123,0.23600633678271202,0.06226041532708976,0.6537051470072738,0.5139068885752502,0.3602432588143609,0.24379529862022142,-0.036623951744095336
ceacce0,da569da,interpolation,combined SBCV test folds,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,uniform,5,4.999999999999999,348303,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,maxabs,absolute,legacy,0.9897082825816185,0.8659062911135988,43.45981967460666,0.5021114034796201,0.32289510780734315,0.0337445763455538,0.8660448489751625,0.7102248084975511,0.5084581995967427,0.33048559933693367,-0.04053067357304713
ceacce0,da569da,interpolation,combined SBCV test folds,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,inverse_val_rmse,5,4.995313369406013,348303,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,maxabs,absolute,legacy,0.9897183528769249,0.8659580251475976,43.43855207115322,0.5020847990512484,0.3229096697579154,0.03366740561705601,0.8660520355340534,0.710260978385155,0.5084445602787413,0.3304443479554033,-0.04061170793808157
ceacce0,da569da,interpolation,combined SBCV test folds,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,inverse_val_rmse_squared,5,4.98165214243195,348303,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,maxabs,absolute,legacy,0.9897276661484996,0.8660054654737023,43.41887396501224,0.5020682097981303,0.3229270091532901,0.03360825792038292,0.8660547909280627,0.7102901578437055,0.5084393307393984,0.3304110690856787,-0.04069175767861822
