experiment,fold,config_hash,train_frac,n_train_samples,train_r2,train_d2,train_rmse,train_nrmse,train_mape,train_mean_relative_bias,train_median_relative_bias,train_log1p_r2,train_log1p_d2,train_log1p_rmse,train_log1p_mae,train_bias_slope_log_area,val_r2,val_d2,val_rmse,val_nrmse,val_mape,val_mean_relative_bias,val_median_relative_bias,val_log1p_r2,val_log1p_d2,val_log1p_rmse,val_log1p_mae,val_bias_slope_log_area,test_r2,test_d2,test_rmse,test_nrmse,test_mape,test_mean_relative_bias,test_median_relative_bias,test_log1p_r2,test_log1p_d2,test_log1p_rmse,test_log1p_mae,test_bias_slope_log_area,gift_r2,gift_d2,gift_rmse,gift_nrmse,gift_mape,gift_mean_relative_bias,gift_median_relative_bias,gift_log1p_r2,gift_log1p_d2,gift_log1p_rmse,gift_log1p_mae,gift_bias_slope_log_area,interp_r2,interp_d2,interp_rmse,interp_nrmse,interp_mape,interp_mean_relative_bias,interp_median_relative_bias,interp_log1p_r2,interp_log1p_d2,interp_log1p_rmse,interp_log1p_mae,interp_bias_slope_log_area,extrap_r2,extrap_d2,extrap_rmse,extrap_nrmse,extrap_mape,extrap_mean_relative_bias,extrap_median_relative_bias,extrap_log1p_r2,extrap_log1p_d2,extrap_log1p_rmse,extrap_log1p_mae,extrap_bias_slope_log_area,scaling_result_source,model_family,architecture_variant,effort_transform,asymptote_transform,weibull_parameterization,target_transform,layer_label,layer_size_base,layer_sizes,ridge_alpha,n_val_samples,n_test_samples,n_gift_samples,train_prediction_min,train_prediction_mean,train_prediction_max,train_prediction_finite_fraction,val_prediction_min,val_prediction_mean,val_prediction_max,val_prediction_finite_fraction,test_prediction_min,test_prediction_mean,test_prediction_max,test_prediction_finite_fraction,gift_prediction_min,gift_prediction_mean,gift_prediction_max,gift_prediction_finite_fraction
MuScaRi_ClimateDEM_Area,0,d4450347fce2,0.0001,21,0.9824134170035216,0.8778698450149278,101.41090399139824,0.1878310965209969,2.0362843737702168,1.920132130285918,0.0013803907050402,0.6602926031306182,0.6697738861659922,0.8450723480926311,0.3830437839926151,0.3825801249573473,0.4580707132711847,0.1292998430969599,324.9054057431344,1.1807997594781503,3.4325953127076474,3.2241606394884155,0.8523620483409637,0.1479864630132394,0.1363349905762362,1.310182619400278,1.014414436426893,0.139380848133947,0.4598030137297642,0.1280481994583868,312.9671354668385,1.177385410059362,3.277670704778275,3.062392414052982,0.7910650867890325,0.147841362296546,0.1349861861852456,1.2821460118022177,0.9895105952954596,0.1621361791898009,-0.3474458062869836,-0.2347129736519368,1023.7060011466688,0.6532294739741675,0.6200677441358386,-0.4633585991082766,-0.5684787123638013,-2.997658125835693,-0.9741368174205672,1.2239838075546403,0.9901092325189844,0.0415621563413412,0.4598030137297642,0.1280481994583868,312.9671354668385,1.177385410059362,3.277670704778275,3.062392414052982,0.7910650867890325,0.147841362296546,0.1349861861852456,1.2821460118022177,0.9895105952954596,0.1621361791898009,-0.3474458062869836,-0.2347129736519368,1023.7060011466688,0.6532294739741675,0.6200677441358386,-0.4633585991082766,-0.5684787123638013,-2.997658125835693,-0.9741368174205672,1.2239838075546403,0.9901092325189844,0.0415621563413412,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,1,d4450347fce2,0.0001,21,0.6590509073643458,0.182258992747863,398.6690478937965,0.896749141704711,2.868402412133104,2.719658666475009,1.1364083195364238,0.0949421311437569,-0.0115821882005848,1.2852012177914132,1.0862309473769198,-0.594922021326955,-0.0027912792012436,-0.4460113291969465,414.402351489124,1.6316526256755346,6.84815742212941,6.77295105353534,2.5250058717365507,-0.6110934885359178,-0.2838245529203931,1.7209301921029416,1.4169013013384972,-0.3027619326316312,-0.0161936868239416,-0.4270716773250791,444.9117469712732,1.6169373422582165,7.572766796710809,7.488328875188937,2.9194097015248746,-0.5932799587676911,-0.2561551092787533,1.7916560116943236,1.4754121754963978,-0.3804813538601115,0.1295813021792839,0.0985817933666304,822.779943736997,0.5250180326419668,0.4612150234778701,-0.102916404515517,-0.2860987227889254,-0.0253474989002311,-0.0108886109681003,0.6198810807345532,0.5070014054583071,-0.0722181864146837,-0.0161936868239416,-0.4270716773250791,444.9117469712732,1.6169373422582165,7.572766796710809,7.488328875188937,2.9194097015248746,-0.5932799587676911,-0.2561551092787533,1.7916560116943236,1.4754121754963978,-0.3804813538601115,0.1295813021792839,0.0985817933666304,822.779943736997,0.5250180326419668,0.4612150234778701,-0.102916404515517,-0.2860987227889254,-0.0253474989002311,-0.0108886109681003,0.6198810807345532,0.5070014054583071,-0.0722181864146837,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,2,d4450347fce2,0.0001,20,0.9705886892050783,0.7794626561576778,112.97926175618277,0.2754248193305372,1.0780077867665754,0.8446837056516692,0.1069425608487737,0.5754226023578473,0.4671861884584595,0.9540355165701796,0.6650032686597183,-0.0072883200102681,0.3244658693140191,0.0086287628058385,348.0248204572961,1.3393022948705895,3.60014507467184,3.349995141462803,1.1725819389551813,-0.0195334730110807,-0.0054451797612111,1.391196971954244,1.132002523328794,-0.216475438397297,0.3239330823352211,0.0004251073743193,340.26069069326684,1.339729968241093,3.474409724287,3.2300263349101184,1.1875889570427582,-0.0258443037348374,-0.0141083863452398,1.373231029554492,1.119227302775016,-0.1959621679144618,-0.9217311453339389,-0.434143830793404,1222.547954171697,0.7801110449097644,0.5878825980703136,-0.5587051741455311,-0.6240842182472339,-3.6452767456601247,-1.1876173084854242,1.3194065553733574,1.0971782937038317,-0.0338088860725853,0.3239330823352211,0.0004251073743193,340.26069069326684,1.339729968241093,3.474409724287,3.2300263349101184,1.1875889570427582,-0.0258443037348374,-0.0141083863452398,1.373231029554492,1.119227302775016,-0.1959621679144618,-0.9217311453339389,-0.434143830793404,1222.547954171697,0.7801110449097644,0.5878825980703136,-0.5587051741455311,-0.6240842182472339,-3.6452767456601247,-1.1876173084854242,1.3194065553733574,1.0971782937038317,-0.0338088860725853,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,3,d4450347fce2,0.0001,21,0.5952705874369684,0.2292411593349799,337.6619253534967,0.9072288186113926,4.621318739262088,4.158372313677399,-0.073037029945687,0.0757611770469089,0.1114817904422897,1.4833583440604832,1.125532143341767,0.3948136044676223,-0.0470896259120776,-0.0640320207111844,449.4058674681048,1.6370957000293225,3.332204298666068,2.939720770089203,0.364466347448983,0.0185197507761426,0.0790246523790393,1.3956601147161505,1.0689242984286018,0.3878228521883606,-0.0560513082598264,-0.0985726679083132,435.14007223023697,1.674547513198527,3.378880938362627,3.008804279338396,0.4019607938900654,-0.0038296322434705,0.0626083920666925,1.3804411143032909,1.0553829172459872,0.4254662219743296,-2.276966419297445,-0.8493349464319335,1596.4509829250544,1.0186995432610195,0.7984104923896949,-0.7681818416532674,-0.913832033051988,-15.396461256198355,-3.408773952919528,2.4788366481724724,2.211177936585625,0.0467348015410148,-0.0560513082598264,-0.0985726679083132,435.14007223023697,1.674547513198527,3.378880938362627,3.008804279338396,0.4019607938900654,-0.0038296322434705,0.0626083920666925,1.3804411143032909,1.0553829172459872,0.4254662219743296,-2.276966419297445,-0.8493349464319335,1596.4509829250544,1.0186995432610195,0.7984104923896949,-0.7681818416532674,-0.913832033051988,-15.396461256198355,-3.408773952919528,2.4788366481724724,2.211177936585625,0.0467348015410148,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,4,d4450347fce2,0.0001,21,0.9425608452713998,0.7363652857431925,66.11740071940729,0.2688219583944923,1.4221834620261389,1.294149307031658,0.0513536680780559,0.53582681521056,0.4853171044091194,0.8916944606197115,0.5561819001032712,0.2090908594306769,0.1160119506397114,0.091555379223036,400.3555500423637,1.5061414747993744,2.139363734251057,1.7847656481517626,0.3597257597035436,0.2782584567631118,0.1923043535514416,1.179962242928511,0.923942928086904,0.0335731938479897,0.1155478061179855,0.0877619099848568,413.0322773151062,1.5045939844414635,2.2422325306009543,1.9014016073090416,0.4167072688478261,0.2769763207891206,0.1922873865644653,1.1978850515977757,0.9374666114801838,0.0092488199064928,-2.0827653210405352,-0.8034702171303678,1548.4237541764826,0.9880532417103228,0.7879065440671159,-0.7720725938401443,-0.9080368962663306,-13.65038790172801,-3.1672478360027494,2.3431355125273807,2.0900428445862205,0.0380493272047375,0.1155478061179855,0.0877619099848568,413.0322773151062,1.5045939844414635,2.2422325306009543,1.9014016073090416,0.4167072688478261,0.2769763207891206,0.1922873865644653,1.1978850515977757,0.9374666114801838,0.0092488199064928,-2.0827653210405352,-0.8034702171303678,1548.4237541764826,0.9880532417103228,0.7879065440671159,-0.7720725938401443,-0.9080368962663306,-13.65038790172801,-3.1672478360027494,2.3431355125273807,2.0900428445862205,0.0380493272047375,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,0,5539dbb177dc,0.0003162277660168,67,0.7642673132628598,0.4589875421145856,323.1921787818697,0.6797638013346932,2.8337672849185847,2.562334519583243,0.1586085214753876,0.4380818181595697,0.3494437661417859,1.114493378542668,0.7876180384895355,0.3057542525777346,0.3635485749118639,0.066129158881945,352.10181030884195,1.27963932140051,4.145612277637573,3.952729552298865,0.8695658421407035,0.084826349784307,0.12107934603413,1.3578767118986068,1.032332895426216,0.4789496148805491,0.3546633587460235,0.0541484873128623,342.07065450234575,1.2868731319656197,3.942541216420295,3.7399201165416303,0.8225683895158179,0.0793885873122186,0.1148353194653647,1.3326479568648024,1.0125616677815443,0.4883279574206029,-0.5082754758839725,-0.3453917712920362,1083.0784891722326,0.6911152137061163,0.6651970978798919,-0.5595922096931127,-0.6987367714676018,-3.4438986511698424,-1.3065906249254509,1.2904908207273909,1.1568482251217194,0.0871024193581836,0.3546633587460235,0.0541484873128623,342.07065450234575,1.2868731319656197,3.942541216420295,3.7399201165416303,0.8225683895158179,0.0793885873122186,0.1148353194653647,1.3326479568648024,1.0125616677815443,0.4883279574206029,-0.5082754758839725,-0.3453917712920362,1083.0784891722326,0.6911152137061163,0.6651970978798919,-0.5595922096931127,-0.6987367714676018,-3.4438986511698424,-1.3065906249254509,1.2904908207273909,1.1568482251217194,0.0871024193581836,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,1,5539dbb177dc,0.0003162277660168,67,0.7824423255234082,0.4311277976369634,226.3713717917057,0.6251290889681606,1.233607404992502,0.950741314934059,0.1607028511091634,0.5661045746310813,0.3885098212872437,0.8855658449044818,0.6691819866534621,-0.0103476302190076,0.2510518471762699,-0.025070381906435,358.1317409188025,1.4100947866442082,3.9205412027845887,3.588499367885031,0.5804636637369792,-0.1243357582031234,-0.0078734923796757,1.437642471125083,1.1123461221308242,0.2117340151321628,0.2532111663801629,-0.0132399007308612,381.4033770225847,1.3861296469904756,4.329306298308309,4.01883465770805,0.7394833490791833,-0.0913700348616892,0.0161924837899284,1.4828410394721083,1.1555273525055592,0.1921006446283493,-0.6617068140538602,-0.2876052485598728,1136.833312570194,0.7254163081523047,0.5712988288862029,-0.4927152440940716,-0.6035612256521596,-2.8829289720420586,-0.9130155721364316,1.2062923301919632,0.9594544574084676,-0.0084705512822271,0.2532111663801629,-0.0132399007308612,381.4033770225847,1.3861296469904756,4.329306298308309,4.01883465770805,0.7394833490791833,-0.0913700348616892,0.0161924837899284,1.4828410394721083,1.1555273525055592,0.1921006446283493,-0.6617068140538602,-0.2876052485598728,1136.833312570194,0.7254163081523047,0.5712988288862029,-0.4927152440940716,-0.6035612256521596,-2.8829289720420586,-0.9130155721364316,1.2062923301919632,0.9594544574084676,-0.0084705512822271,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,2,5539dbb177dc,0.0003162277660168,65,0.8040448311736076,0.3930308136094402,210.70171865644835,0.7528370534724645,2.299625085913461,2.082569208419463,0.6054890950520834,0.1240238491325702,0.1276247157118987,1.1798769542902436,0.9111674730055918,0.063817285376809,0.0784902919625358,-0.0960439243314066,406.4775155233591,1.5642455289206307,4.39241738292727,4.185149070680853,1.057329544931088,-0.0826487139651634,0.0077291813585267,1.433612111671319,1.1171698797088505,0.3352472457653631,0.10691714284251,-0.0875685479754164,391.0774847764499,1.5398141501207727,4.2153855327121,4.0121019121548285,0.9985684204101564,-0.0803959688183744,0.0103955384026156,1.4092704970142826,1.0921833871815525,0.3600299041749574,-1.2416073803255507,-0.541270145654484,1320.3812932748615,0.8425387542968288,0.709397617405617,-0.6242589516177312,-0.7451706599710577,-4.854234577797981,-1.6522751644555052,1.4811802123819178,1.3302229453400438,0.0468205231495302,0.10691714284251,-0.0875685479754164,391.0774847764499,1.5398141501207727,4.2153855327121,4.0121019121548285,0.9985684204101564,-0.0803959688183744,0.0103955384026156,1.4092704970142826,1.0921833871815525,0.3600299041749574,-1.2416073803255507,-0.541270145654484,1320.3812932748615,0.8425387542968288,0.709397617405617,-0.6242589516177312,-0.7451706599710577,-4.854234577797981,-1.6522751644555052,1.4811802123819178,1.3302229453400438,0.0468205231495302,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,3,5539dbb177dc,0.0003162277660168,67,0.496289313090677,0.1635159788760206,371.17380422702144,1.022181136085107,4.222984137195304,3.956321411481087,0.5032295191892281,0.0851182593247711,0.1526768094294831,1.3992363427586472,1.040932243004106,0.5522817733990338,0.4177650562070516,0.1200699545377538,335.116601604512,1.220762759896165,3.733771667079926,3.5262006564468136,0.7754093330873882,0.1631930317067563,0.1554396109558649,1.2886991092296425,0.980233750690131,0.3680543141177766,0.4171949335171409,0.1073189231000482,323.25721648704945,1.2439892400505186,3.573987859097844,3.377442741754857,0.7764448498745604,0.1497158339509385,0.1420834618487529,1.2704861202254836,0.9659041630791744,0.3388405257452624,-1.200229966124796,-0.586219313911045,1308.1382015239374,0.8347264038072477,0.7466700460705705,-0.6631323281459344,-0.7746348445870133,-4.983994108115763,-1.7903737233046422,1.4975054847759492,1.399484949043797,0.0545748085604341,0.4171949335171409,0.1073189231000482,323.25721648704945,1.2439892400505186,3.573987859097844,3.377442741754857,0.7764448498745604,0.1497158339509385,0.1420834618487529,1.2704861202254836,0.9659041630791744,0.3388405257452624,-1.200229966124796,-0.586219313911045,1308.1382015239374,0.8347264038072477,0.7466700460705705,-0.6631323281459344,-0.7746348445870133,-4.983994108115763,-1.7903737233046422,1.4975054847759492,1.399484949043797,0.0545748085604341,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuScaRi_ClimateDEM_Area,4,5539dbb177dc,0.0003162277660168,67,0.9764866198474128,0.8334081390785797,63.73710757622879,0.2113947926636958,0.5989764014921609,0.430618277566267,-0.0005778421610941,0.8328923789803224,0.6988979347984285,0.5686781306532313,0.3544572020493398,0.0146846379671426,0.929059933621329,0.705174512920153,113.41446571245376,0.4266663229518473,0.8918878672777161,0.573655173497575,0.0587150481519798,0.6210177037971121,0.485356628666593,0.8550405659259749,0.588713217604193,-0.0329162262788434,0.934197006078877,0.7165594092849696,112.65997140071237,0.4103977443694175,0.9090748872022736,0.6121839146808211,0.080877887243512,0.6414571306345365,0.5020357748611544,0.8435472798362706,0.5779590741889705,-0.0421887285917205,0.2006609929058155,0.125301036225085,788.4698603891079,0.5031246766329541,0.4593125704715649,-0.2132454079895709,-0.3428327622149216,-1.2235956835393211,-0.2000273715934293,0.91285280549766,0.6018621210575746,0.0646945243022797,0.934197006078877,0.7165594092849696,112.65997140071237,0.4103977443694175,0.9090748872022736,0.6121839146808211,0.080877887243512,0.6414571306345365,0.5020357748611544,0.8435472798362706,0.5779590741889705,-0.0421887285917205,0.2006609929058155,0.125301036225085,788.4698603891079,0.5031246766329541,0.4593125704715649,-0.2132454079895709,-0.3428327622149216,-1.2235956835393211,-0.2000273715934293,0.91285280549766,0.6018621210575746,0.0646945243022797,dedicated_scaling_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
