dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,0,3.9999999999999987,7.446582266544274,5.470901072879041,3482,47.22716829408386,33.29232532115203,0.7049401123065546,70.49401123065546
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,1,7.446582266544274,13.862896863102918,10.128015560701755,3557,48.826820354231096,34.16781103206238,0.6997754673390598,69.97754673390598
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,2,13.862896863102918,25.807800485928613,18.90571782238057,3515,51.18890469416785,36.038200287924894,0.7040236649570442,70.40236649570441
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,3,25.807800485928613,48.04497735925719,35.15629229666929,3643,59.74938237716168,41.543052256207886,0.6952883963548233,69.52883963548233
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,4,48.04497735925719,89.44271909999146,65.3385068564795,3688,67.04175704989154,45.35930615431685,0.6765828962472012,67.65828962472013
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,5,89.44271909999146,166.51064148037437,122.33566249869897,3508,75.98859749144812,49.79371465711455,0.6552787694590418,65.52787694590418
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,6,166.51064148037437,309.98379750966797,226.6210732252303,3475,88.87510791366907,56.27259386995561,0.6331648443635908,63.316484436359076
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,7,309.98379750966797,577.0799623628864,423.6732472221319,3509,106.39327443716158,62.04729781998439,0.5831881587273734,58.31881587273734
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,8,577.0799623628864,1074.318353527377,785.3473858267545,3537,125.91518235793045,69.71524609098248,0.5536683089796728,55.366830897967276
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,9,1074.318353527377,2000.0000000000023,1472.7428754782327,3557,156.54287320775936,81.588315792973,0.5211883116818181,52.118831168181806
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,10,2000.0000000000023,3723.2911332721424,2757.071956583055,3582,188.61557788944722,94.62786858334309,0.501696994713804,50.1696994713804
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,11,3723.2911332721424,6931.448431551469,5112.268653564093,3630,232.12424242424242,107.40858293545966,0.4627202303977975,46.272023039779754
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,12,6931.448431551469,12903.900242964326,9436.295067861149,3596,269.40906562847607,121.51202031423307,0.4510316682579722,45.10316682579722
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,13,12903.900242964326,24022.48867962863,17541.770562512833,3561,320.2019095759618,143.25117358656917,0.447377636742624,44.737763674262396
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,14,24022.48867962863,44721.359549995796,32684.360388172696,3615,382.51424619640386,163.66351834915704,0.4278625436217693,42.786254362176926
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,15,44721.359549995796,83255.32074018731,60917.506682361054,3617,439.0605474149848,203.3356895529846,0.46311537383658113,46.31153738365811
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,16,83255.32074018731,154991.89875483367,113401.00201645277,3586,515.9350250976017,237.10559937594198,0.4595648441023899,45.95648441023899
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,17,154991.89875483367,288539.98118144256,211130.20180377868,3449,601.648593795303,265.69960496507883,0.4416192569968459,44.16192569968459
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,18,288539.98118144256,537159.1767636873,394422.9476402418,3495,698.7041487839771,319.47159037802646,0.45723442594985875,45.723442594985876
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,0,19,537159.1767636873,999999.9999999991,732231.513646473,3462,821.6658001155402,365.1553205791887,0.44440856675285945,44.44085667528594
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,1,0,3.9999999999999987,7.446582266544274,5.450814254461662,3199,43.96280087527352,31.740344146083242,0.7219818463371681,72.1981846337168
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,1,1,7.446582266544274,13.862896863102918,10.165543144473936,3204,47.052434456928836,32.12204561404547,0.682686156089321,68.26861560893211
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,1,2,13.862896863102918,25.807800485928613,18.9129372116542,3324,49.09596871239471,34.558694926524915,0.7039008666672926,70.39008666672926
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,1,3,25.807800485928613,48.04497735925719,35.226147163085855,3227,54.4893089556864,38.428757025109455,0.7052531544557072,70.52531544557073
