dataset_id,gift_dataset_id,model_name,config_hash,run_dir,prediction_mode,observed_area_policy,aggregation,fold,n_samples,feature_count,feature_names,architecture_variant,layer_sizes,effort_transform,asymptote_transform,weibull_parameterization,target_transform,sr_mean,sr_median,pred_mean,pred_median,bias_slope_log_area,r2,d2,rmse,mape,mean_relative_bias,median_relative_bias,log1p_r2,log1p_d2,log1p_rmse,log1p_mae,nrmse
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,0.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,2174.954250721449,2230.8563232421875,0.0514499402535398,-0.0683572925855244,0.0078401060672511,911.5444525574982,0.8149342503870831,0.7836252776446823,0.4225725957752888,-0.0341454414937623,0.084069060466197,0.6225348309419423,0.4593763039855619,0.5816588967106695
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,1.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1272.6095255305258,1146.67041015625,0.078329133932138,0.2531822814060515,0.1601553988830822,762.1262135985221,0.4579740064587526,-0.0002595906369975,-0.2224949543097591,0.277636008638584,0.1776589842992735,0.520296481313753,0.4124371828738635,0.48631472805549675
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,2.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1234.0801923087474,1156.9097290039062,0.0745451629015172,0.2515069302154642,0.1529002529669361,762.9805812344035,0.4460130304800014,-0.0418379421129902,-0.2447129903117513,0.2767707967574995,0.1614546030843451,0.5206079807700609,0.4205643335460263,0.4868599022761042
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,3.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1289.4416850229327,1214.175537109375,0.0748303868763589,0.2551576253185671,0.1626033668600792,761.1176286722933,0.4551955743048075,0.0098344867376022,-0.2145385076984148,0.2949037781359014,0.1865170212140789,0.514040145848832,0.4079945201327597,0.485671147379005
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,4.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1607.5519560053108,1509.4169311523438,0.0228628125208285,0.3395505064892478,0.2350808567106,716.7032910239451,0.5092452217050705,0.2997195472128811,0.0794634486660842,0.3783622545351971,0.2740124210823434,0.4826602490908302,0.3641120485703512,0.4573302424871025
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,finite_full_area,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1515.7275219177932,1451.6057861328125,0.0604034872968765,0.3900005507859484,0.2757122775093756,688.7860050459153,0.4622767906427486,0.2102163557690355,-0.0360880172271487,0.4216671277926045,0.326959602812823,0.4655451251662063,0.3375569016701062,0.4395161493668191
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,0.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,2199.363486986482,2233.1436767578125,0.0317177611454649,-0.0979885431736176,-0.0238814686676542,924.0989935534494,0.8498859880277306,0.8198461445909676,0.4563178180611029,-0.092777132871312,0.0462257931039647,0.6399390961947381,0.4783562287170576,0.58966998212063
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,1.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1272.6253665538316,1146.6702270507812,0.0783101519629616,0.2531837901419546,0.1601599128685187,762.1254437669198,0.4579713678204101,-0.0002311766123697,-0.2224949230417487,0.2776472000352155,0.1776720923677565,0.5202924508894025,0.4124306086488949,0.48631423682394004
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,2.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1234.080390158664,1156.9097290039062,0.0745451511010961,0.2515066372042394,0.1529001848386523,762.9807305757013,0.4460130397615035,-0.0418377887902173,-0.2447130226911445,0.2767708428557915,0.1614547059872361,0.5206079641784057,0.4205642819360766,0.4868599975711765
d0848f6,da569da,MuScaRi_Area,310992bf1eca,scripts/results/benchmark/artifacts/MuScaRi_Area/310992bf1eca,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,3.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1289.467839273174,1214.1754760742188,0.0747994568832673,0.2551527470641516,0.1626059854193327,761.120121091817,0.4551953929894062,0.0098793627785694,-0.2145384300455443,0.2949033357673747,0.1865292369232725,0.5140403070999771,0.4079883934619621,0.4856727377984149
